timestamp_unix_s,timestamp_utc,relative_to_test_start_s,scope,gpu_uuid,gpu,gpu_i_id,gpu_i_profile,model_name,active_requests,sm_partition_pct,sm_configured_pct,sm_physical_pct,dram_partition_pct,dram_configured_pct,dram_physical_pct,fb_used_mib,fb_free_mib,fb_util_partition_pct,fb_util_configured_pct,fb_util_physical_pct,configured_compute_pct,configured_memory_pct,physical_memory_mib,power_w
1789666254.694,2026-09-17T17:30:54.694000Z,-18.33,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,1,3g.20gb,NVIDIA A100-SXM4-40GB,0,69.942,,,20.0114,,,1164.0,18931.0,5.792486,,,,,40960.0,
1789666254.694,2026-09-17T17:30:54.694000Z,-18.33,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,2,3g.20gb,NVIDIA A100-SXM4-40GB,0,0.0,,,0.0,,,101.0,19994.0,0.502613,,,,,40960.0,
1789666259.694,2026-09-17T17:30:59.694000Z,-13.33,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,1,3g.20gb,NVIDIA A100-SXM4-40GB,0,0.0,,,0.0,,,1164.0,18931.0,5.792486,,,,,40960.0,
1789666259.694,2026-09-17T17:30:59.694000Z,-13.33,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,2,3g.20gb,NVIDIA A100-SXM4-40GB,0,0.0,,,0.0,,,101.0,19994.0,0.502613,,,,,40960.0,
1789666264.694,2026-09-17T17:31:04.694000Z,-8.33,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,1,3g.20gb,NVIDIA A100-SXM4-40GB,0,0.0,,,0.0,,,1164.0,18931.0,5.792486,,,,,40960.0,
1789666264.694,2026-09-17T17:31:04.694000Z,-8.33,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,2,3g.20gb,NVIDIA A100-SXM4-40GB,0,0.0,,,0.0,,,101.0,19994.0,0.502613,,,,,40960.0,
1789666269.694,2026-09-17T17:31:09.694000Z,-3.33,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,1,3g.20gb,NVIDIA A100-SXM4-40GB,0,0.0,,,0.0,,,1164.0,18931.0,5.792486,,,,,40960.0,
1789666269.694,2026-09-17T17:31:09.694000Z,-3.33,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,2,3g.20gb,NVIDIA A100-SXM4-40GB,0,0.0,,,0.0,,,101.0,19994.0,0.502613,,,,,40960.0,
1789666274.694,2026-09-17T17:31:14.694000Z,1.67,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,1,3g.20gb,NVIDIA A100-SXM4-40GB,497,0.0,,,0.0,,,1164.0,18931.0,5.792486,,,,,40960.0,
1789666274.694,2026-09-17T17:31:14.694000Z,1.67,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,2,3g.20gb,NVIDIA A100-SXM4-40GB,497,0.0,,,0.0,,,101.0,19994.0,0.502613,,,,,40960.0,
1789666279.694,2026-09-17T17:31:19.694000Z,6.67,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,1,3g.20gb,NVIDIA A100-SXM4-40GB,467,5.4567,,,1.5643,,,1164.0,18931.0,5.792486,,,,,40960.0,
1789666279.694,2026-09-17T17:31:19.694000Z,6.67,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,2,3g.20gb,NVIDIA A100-SXM4-40GB,467,0.0,,,0.0,,,101.0,19994.0,0.502613,,,,,40960.0,
1789666284.694,2026-09-17T17:31:24.694000Z,11.67,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,1,3g.20gb,NVIDIA A100-SXM4-40GB,413,56.0888,,,16.0565,,,1164.0,18931.0,5.792486,,,,,40960.0,
1789666284.694,2026-09-17T17:31:24.694000Z,11.67,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,2,3g.20gb,NVIDIA A100-SXM4-40GB,413,0.0,,,0.0,,,101.0,19994.0,0.502613,,,,,40960.0,
1789666289.694,2026-09-17T17:31:29.694000Z,16.67,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,1,3g.20gb,NVIDIA A100-SXM4-40GB,358,74.7816,,,21.3927,,,1164.0,18931.0,5.792486,,,,,40960.0,
1789666289.694,2026-09-17T17:31:29.694000Z,16.67,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,2,3g.20gb,NVIDIA A100-SXM4-40GB,358,0.0,,,0.0,,,101.0,19994.0,0.502613,,,,,40960.0,
1789666294.694,2026-09-17T17:31:34.694000Z,21.67,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,1,3g.20gb,NVIDIA A100-SXM4-40GB,303,74.9602,,,21.4411,,,1164.0,18931.0,5.792486,,,,,40960.0,
1789666294.694,2026-09-17T17:31:34.694000Z,21.67,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,2,3g.20gb,NVIDIA A100-SXM4-40GB,303,0.0,,,0.0,,,101.0,19994.0,0.502613,,,,,40960.0,
1789666299.694,2026-09-17T17:31:39.694000Z,26.67,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,1,3g.20gb,NVIDIA A100-SXM4-40GB,248,74.989,,,21.4573,,,1164.0,18931.0,5.792486,,,,,40960.0,
1789666299.694,2026-09-17T17:31:39.694000Z,26.67,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,2,3g.20gb,NVIDIA A100-SXM4-40GB,248,0.0,,,0.0,,,101.0,19994.0,0.502613,,,,,40960.0,
1789666304.694,2026-09-17T17:31:44.694000Z,31.67,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,1,3g.20gb,NVIDIA A100-SXM4-40GB,194,74.9027,,,21.4382,,,1164.0,18931.0,5.792486,,,,,40960.0,
1789666304.694,2026-09-17T17:31:44.694000Z,31.67,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,2,3g.20gb,NVIDIA A100-SXM4-40GB,194,0.0,,,0.0,,,101.0,19994.0,0.502613,,,,,40960.0,
1789666309.694,2026-09-17T17:31:49.694000Z,36.67,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,1,3g.20gb,NVIDIA A100-SXM4-40GB,139,74.922,,,21.4383,,,1164.0,18931.0,5.792486,,,,,40960.0,
1789666309.694,2026-09-17T17:31:49.694000Z,36.67,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,2,3g.20gb,NVIDIA A100-SXM4-40GB,139,0.0,,,0.0,,,101.0,19994.0,0.502613,,,,,40960.0,
1789666314.694,2026-09-17T17:31:54.694000Z,41.67,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,1,3g.20gb,NVIDIA A100-SXM4-40GB,84,74.8469,,,21.4126,,,1164.0,18931.0,5.792486,,,,,40960.0,
1789666314.694,2026-09-17T17:31:54.694000Z,41.67,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,2,3g.20gb,NVIDIA A100-SXM4-40GB,84,0.0,,,0.0,,,101.0,19994.0,0.502613,,,,,40960.0,
1789666319.694,2026-09-17T17:31:59.694000Z,46.67,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,1,3g.20gb,NVIDIA A100-SXM4-40GB,29,74.9197,,,21.4306,,,1164.0,18931.0,5.792486,,,,,40960.0,
1789666319.694,2026-09-17T17:31:59.694000Z,46.67,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,2,3g.20gb,NVIDIA A100-SXM4-40GB,29,0.0,,,0.0,,,101.0,19994.0,0.502613,,,,,40960.0,
1789666324.694,2026-09-17T17:32:04.694000Z,51.67,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,1,3g.20gb,NVIDIA A100-SXM4-40GB,0,74.8217,,,21.4027,,,1164.0,18931.0,5.792486,,,,,40960.0,
1789666324.694,2026-09-17T17:32:04.694000Z,51.67,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,2,3g.20gb,NVIDIA A100-SXM4-40GB,0,0.0,,,0.0,,,101.0,19994.0,0.502613,,,,,40960.0,
1789666329.694,2026-09-17T17:32:09.694000Z,56.67,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,1,3g.20gb,NVIDIA A100-SXM4-40GB,0,22.5755,,,6.4731,,,1164.0,18931.0,5.792486,,,,,40960.0,
1789666329.694,2026-09-17T17:32:09.694000Z,56.67,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,2,3g.20gb,NVIDIA A100-SXM4-40GB,0,0.0,,,0.0,,,101.0,19994.0,0.502613,,,,,40960.0,
1789666334.694,2026-09-17T17:32:14.694000Z,61.67,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,1,3g.20gb,NVIDIA A100-SXM4-40GB,0,0.0,,,0.0,,,1164.0,18931.0,5.792486,,,,,40960.0,
1789666334.694,2026-09-17T17:32:14.694000Z,61.67,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,2,3g.20gb,NVIDIA A100-SXM4-40GB,0,0.0,,,0.0,,,101.0,19994.0,0.502613,,,,,40960.0,
