idx,time,latency_sec,tokens,generation_time_sec,tok_per_sec,gpu_sm_avg_pct,gpu_dram_avg_pct,gpu_fb_used_avg_mib,gpu_power_avg_w
1,16:59:10.66,1.204,25,0.057,437.643,,,,
2,16:59:10.90,1.435,25,0.066,376.916,,,,
3,16:59:11.19,1.75,25,0.069,361.923,,,,
4,16:59:11.52,2.07,25,0.068,368.024,,,,
5,16:59:12.89,3.424,25,0.057,442.16,,,,
6,16:59:13.02,3.581,25,0.065,386.963,,,,
7,16:59:13.11,1.715,25,0.055,453.184,,,,
8,16:59:13.19,1.638,25,0.054,462.326,,,,
9,16:59:13.26,1.459,25,0.054,461.366,,,,
10,16:59:13.34,1.516,25,0.055,457.177,,,,
11,16:59:13.42,1.85,25,0.054,461.6,,,,
12,16:59:13.49,4.047,25,0.054,463.181,,,,
13,16:59:13.57,3.002,25,0.054,459.649,,,,
14,16:59:13.64,3.194,25,0.054,460.297,,,,
15,16:59:13.72,4.264,25,0.054,463.221,,,,
16,16:59:13.79,4.266,25,0.054,461.644,,,,
17,16:59:13.87,4.388,25,0.054,459.906,,,,
18,16:59:13.94,4.23,25,0.054,459.946,,,,
19,16:59:14.02,4.12,25,0.054,461.777,,,,
20,16:59:14.09,4.583,25,0.054,465.261,,,,
21,16:59:14.17,4.689,25,0.054,460.456,,,,
22,16:59:14.24,4.71,25,0.054,463.899,,,,
23,16:59:14.32,4.763,25,0.054,466.659,,,,
24,16:59:14.39,4.944,25,0.055,457.456,,,,
25,16:59:14.47,4.694,25,0.054,461.089,,,,
26,16:59:14.54,4.796,25,0.054,461.354,,,,
27,16:59:14.62,4.965,25,0.054,459.109,,,,
28,16:59:14.69,5.13,25,0.054,464.856,,,,
29,16:59:14.77,5.241,25,0.054,460.174,,,,
30,16:59:14.84,5.372,25,0.054,462.881,,,,
31,16:59:14.92,5.34,25,0.054,460.159,,,,
32,16:59:14.99,5.528,25,0.054,461.07,,,,
33,16:59:15.07,5.162,25,0.054,462.709,,,,
34,16:59:15.14,5.531,25,0.054,461.352,,,,
35,16:59:15.22,5.687,25,0.054,462.58,,,,
36,16:59:15.29,5.204,25,0.054,462.682,,,,
37,16:59:15.37,5.142,25,0.055,456.418,,,,
38,16:59:15.44,5.496,25,0.054,462.382,,,,
39,16:59:15.52,5.166,25,0.054,461.971,,,,
40,16:59:15.59,4.93,25,0.054,466.033,,,,
41,16:59:15.67,5.527,25,0.054,459.837,,,,
42,16:59:15.74,6.089,25,0.054,462.392,,,,
43,16:59:15.82,5.585,25,0.055,458.138,,,,
44,16:59:15.89,6.011,25,0.054,463.74,,,,
45,16:59:15.97,6.02,25,0.054,458.767,,,,
46,16:59:16.04,5.678,25,0.054,462.969,,,,
47,16:59:16.12,5.468,25,0.054,461.102,,,,
48,16:59:16.19,6.311,25,0.054,461.037,,,,
49,16:59:16.27,5.583,25,0.054,460.833,,,,
50,16:59:16.34,5.578,25,0.054,460.139,,,,
51,16:59:16.42,5.752,25,0.054,459.649,,,,
52,16:59:16.49,5.828,25,0.054,466.58,,,,
53,16:59:16.56,7.011,25,0.054,463.853,,,,
54,16:59:16.64,6.253,25,0.054,461.417,,,,
55,16:59:16.71,7.161,25,0.054,462.025,,,,
56,16:59:16.79,6.106,25,0.054,460.184,,,,
57,16:59:16.86,7.415,25,0.054,463.306,,,,
58,16:59:16.94,7.412,25,0.054,464.887,,,,
59,16:59:17.01,7.134,25,0.054,461.267,,,,
60,16:59:17.09,6.846,25,0.054,463.959,,,,
61,16:59:17.16,7.287,25,0.054,463.639,,,,
62,16:59:17.24,7.564,25,0.054,464.362,,,,
63,16:59:17.31,7.777,25,0.054,461.3,,,,
64,16:59:17.39,7.507,25,0.054,461.5,,,,
65,16:59:17.46,7.133,25,0.054,459.518,,,,
66,16:59:17.54,7.242,25,0.054,460.655,,,,
67,16:59:17.61,6.849,25,0.054,462.412,,,,
68,16:59:17.69,8.111,25,0.054,460.793,,,,
69,16:59:17.76,7.039,25,0.054,465.254,,,,
70,16:59:17.84,8.24,25,0.055,458.532,,,,
71,16:59:17.91,8.034,25,0.054,463.122,,,,
72,16:59:17.99,7.702,25,0.054,460.718,,,,
73,16:59:18.06,8.026,25,0.054,464.022,,,,
74,16:59:18.14,8.404,25,0.055,456.708,,,,
75,16:59:18.21,8.429,25,0.055,458.26,,,,
76,16:59:18.29,8.398,25,0.054,463.073,,,,
77,16:59:18.36,8.831,25,0.054,459.188,,,,
78,16:59:18.44,8.99,25,0.054,463.607,,,,
79,16:59:18.51,8.782,25,0.055,458.614,,,,
