timestamp_unix_s,timestamp_utc,relative_to_test_start_s,scope,gpu_uuid,gpu,gpu_i_id,gpu_i_profile,model_name,active_requests,sm_partition_pct,sm_configured_pct,sm_physical_pct,dram_partition_pct,dram_configured_pct,dram_physical_pct,fb_used_mib,fb_free_mib,fb_util_partition_pct,fb_util_configured_pct,fb_util_physical_pct,configured_compute_pct,configured_memory_pct,physical_memory_mib,power_w
1789665071.17,2026-09-17T17:11:11.170000Z,-15.583,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,0,7g.40gb,NVIDIA A100-SXM4-40GB,0,0.0,,,0.0,,,8984.0,31457.0,22.215079,,,,,40960.0,
1789665076.17,2026-09-17T17:11:16.170000Z,-10.583,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,0,7g.40gb,NVIDIA A100-SXM4-40GB,0,0.0,,,0.0,,,8984.0,31457.0,22.215079,,,,,40960.0,
1789665081.17,2026-09-17T17:11:21.170000Z,-5.583,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,0,7g.40gb,NVIDIA A100-SXM4-40GB,0,0.0,,,0.0,,,8984.0,31457.0,22.215079,,,,,40960.0,
1789665086.17,2026-09-17T17:11:26.170000Z,-0.583,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,0,7g.40gb,NVIDIA A100-SXM4-40GB,0,0.0,,,0.0,,,8984.0,31457.0,22.215079,,,,,40960.0,
1789665091.17,2026-09-17T17:11:31.170000Z,4.417,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,0,7g.40gb,NVIDIA A100-SXM4-40GB,259,10.3095,,,1.7418,,,8984.0,31457.0,22.215079,,,,,40960.0,
1789665096.17,2026-09-17T17:11:36.170000Z,9.417,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,0,7g.40gb,NVIDIA A100-SXM4-40GB,195,86.3828,,,11.5579,,,8984.0,31457.0,22.215079,,,,,40960.0,
1789665101.17,2026-09-17T17:11:41.170000Z,14.417,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,0,7g.40gb,NVIDIA A100-SXM4-40GB,130,99.9694,,,12.6809,,,8984.0,31457.0,22.215079,,,,,40960.0,
1789665106.17,2026-09-17T17:11:46.170000Z,19.417,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,0,7g.40gb,NVIDIA A100-SXM4-40GB,66,99.9688,,,12.6768,,,8984.0,31457.0,22.215079,,,,,40960.0,
1789665111.17,2026-09-17T17:11:51.170000Z,24.417,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,0,7g.40gb,NVIDIA A100-SXM4-40GB,0,99.9675,,,12.6775,,,8984.0,31457.0,22.215079,,,,,40960.0,
1789665116.17,2026-09-17T17:11:56.170000Z,29.417,partition,GPU-8fb50131-6654-9551-735c-932a7c87f13c,0,0,7g.40gb,NVIDIA A100-SXM4-40GB,0,57.6069,,,7.9043,,,8986.0,31455.0,22.220024,,,,,40960.0,
