MIG config,repliche Ollama,concorrenza,token output,Total tokens,Wall time,GPU time,Throughput REAL,Throughput GPU,Latency avg,Latency p95,GPU telemetry quality,GPU active samples,GPU first-active delay (s),GPU SM physical avg (%),GPU SM configured avg (%),GPU DRAM physical avg (%),GPU FB used avg (MiB),GPU FB used peak (MiB),GPU physical memory util avg (%),GPU power avg (W),GPU power p95 (W),GPU energy (Wh),GPU energy/token (J),Generated tokens/J,Power-SM Pearson r
all-1g.5gb,7,100,25,2500,5.36,16.05,466.77,155.76,2156.92,4285.88,coarse_but_comparable,2,2.623,40.563,40.563,18.32,6867.0,6867.0,16.765,190.297,181.891,0.28312,0.407693,2.452827,0.340267
all-1g.5gb,7,10,25,250,0.65,1.51,385.21,165.16,400.19,621.17,coarse_but_comparable,1,6.855,33.598,33.598,15.12,6869.0,6869.0,16.77,98.074,97.851,0.017681,0.2546,3.927732,-0.735666
all-1g.5gb,7,100,25,2500,4.62,15.77,541.59,158.51,2115.83,3921.07,coarse_but_comparable,2,5.933,47.175,47.175,21.227,6869.0,6869.0,16.77,268.196,230.942,0.343887,0.495198,2.019395,-0.179206
all-1g.5gb,7,200,25,5000,8.83,32.97,566.32,151.66,3837.74,7053.9,coarse_but_comparable,3,5.931,49.474,49.474,22.226,6870.25,6871.0,16.773,174.691,174.255,0.42843,0.30847,3.24181,0.796955
all-1g.5gb,7,300,25,7500,11.2,49.45,669.64,151.67,5707.03,9649.94,good,4,5.923,58.492,58.492,26.279,6873.4,6875.0,16.781,185.69,225.698,0.577702,0.277297,3.606242,0.595314
all-1g.5gb,7,400,25,10000,14.8,65.51,675.49,152.64,7611.4,12475.95,good,3,9.851,58.941,58.941,26.509,6875.75,6877.0,16.786,207.533,257.473,0.85342,0.307231,3.254878,0.640166
all-1g.5gb,7,500,25,12500,20.98,82.29,595.95,151.91,9495.57,16460.12,good,5,6.899,51.941,51.941,23.388,6879.667,6881.0,16.796,191.34,257.834,1.114818,0.321068,3.114608,0.783296
all-7g.40gb,1,10,25,250,0.85,0.54,293.08,461.07,493.4,821.04,coarse_but_comparable,1,8.3,60.271,60.271,11.438,1286.0,1286.0,3.14,100.147,99.938,0.023729,0.341701,2.926533,-0.5
all-7g.40gb,1,100,25,2500,8.29,5.42,301.71,460.91,4374.92,7760.68,coarse_but_comparable,2,8.889,62.155,62.155,11.774,1287.667,1288.0,3.144,138.037,153.477,0.317715,0.45751,2.185743,0.676389
all-7g.40gb,1,200,25,5000,16.69,10.85,299.63,460.72,8704.25,15358.08,good,5,5.044,61.743,61.743,11.693,1288.0,1288.0,3.145,151.239,158.812,0.701035,0.504745,1.981197,0.994909
all-7g.40gb,1,300,25,7500,24.79,16.34,302.58,459.02,12695.04,22158.08,good,6,5.229,62.36,62.36,11.805,1288.0,1288.0,3.145,146.483,158.755,1.008579,0.484118,2.065611,0.85976
all-7g.40gb,1,400,25,10000,33.1,21.69,302.11,460.95,17250.05,30739.53,good,8,6.735,62.24,62.24,11.782,1288.0,1288.0,3.145,151.888,159.084,1.39653,0.502751,1.989057,0.993585
all-7g.40gb,1,500,25,12500,41.37,27.05,302.12,462.12,21433.06,36771.88,good,9,8.35,62.26,62.26,11.782,1288.0,1288.0,3.145,145.881,158.015,1.676581,0.482855,2.071014,0.97554
all-7g.40gb,7,10,25,250,0.87,2.44,287.36,102.32,600.06,839.28,coarse_but_comparable,1,4.392,82.569,82.569,11.306,8980.5,8982.0,21.925,97.86,97.85,0.023649,0.340553,2.936403,-0.5
all-7g.40gb,7,100,25,2500,8.02,41.51,311.88,60.23,4264.19,7590.54,coarse_but_comparable,3,5.301,94.744,94.744,12.313,8982.0,8982.0,21.929,166.483,153.812,0.370702,0.533811,1.873321,0.7601
all-7g.40gb,7,200,25,5000,15.98,84.81,312.97,58.95,8187.72,14842.12,good,4,7.129,94.177,94.177,12.362,8982.6,8984.0,21.93,152.009,160.126,0.674582,0.485699,2.058887,0.860153
all-7g.40gb,7,300,25,7500,24.27,132.68,309.07,56.53,12402.14,22636.09,good,6,4.417,93.589,93.589,12.206,8984.429,8986.0,21.935,145.42,158.823,0.980214,0.470503,2.125386,0.910407
all-7g.40gb,7,400,25,10000,32.68,172.16,306.0,58.09,16903.33,30809.49,good,8,5.138,92.808,92.808,12.078,8564.333,8992.0,20.909,152.408,158.688,1.383526,0.498069,2.007752,0.996198
all-7g.40gb,7,500,25,12500,41.13,217.91,303.88,57.36,21198.69,38455.64,good,9,7.481,92.326,92.326,12.016,8645.1,8992.0,21.106,152.565,160.81,1.743265,0.50206,1.991793,0.968881
all-3g.20gb,1,10,25,250,1.01,0.7,248.26,357.81,574.18,977.88,coarse_but_comparable,1,7.796,29.016,33.853,9.703,1263.0,1263.0,3.083,96.497,96.097,0.026992,0.38869,2.572745,0.732674
all-3g.20gb,1,100,25,2500,9.9,7.0,252.4,357.17,5141.52,9002.41,coarse_but_comparable,2,9.576,29.558,34.484,9.869,1264.667,1265.0,3.088,119.405,133.827,0.328531,0.473084,2.113788,0.631442
all-3g.20gb,1,200,25,5000,19.85,14.0,251.9,357.17,10286.81,18287.81,good,4,8.96,29.498,34.415,9.849,1265.0,1265.0,3.088,140.879,142.465,0.776753,0.559262,1.788071,0.952772
all-3g.20gb,1,300,25,7500,29.86,21.0,251.16,357.21,15559.76,27992.87,good,7,5.954,29.422,34.326,9.821,1265.0,1265.0,3.088,132.761,136.776,1.101253,0.528601,1.891785,0.928171
all-3g.20gb,1,400,25,10000,39.58,28.02,252.64,356.9,20501.11,36744.27,good,8,8.829,29.598,34.531,9.879,1265.0,1265.0,3.088,138.359,139.302,1.521255,0.547652,1.825977,0.87645
all-3g.20gb,1,500,25,12500,49.31,35.16,253.48,355.57,25324.64,45850.36,good,11,6.67,29.69,34.638,9.911,1265.0,1265.0,3.088,135.684,141.56,1.85865,0.535291,1.868142,0.976917
