case,concurrency,wall_time_s,throughput_real_tok_s,throughput_gpu_tok_s,latency_avg_s,latency_p95_s,generation_avg_s,non_generation_avg_s,non_generation_share_pct
Baseline,10,0.84,298.69,462.71,0.477800,0.806600,0.054100,0.423700,88.677
Baseline,100,8.19,305.29,453.98,4.268650,7.623980,0.055160,4.213490,98.708
Baseline,200,16.12,310.08,453.47,8.117145,14.916820,0.055215,8.061930,99.320
Baseline,300,24.81,302.26,454.88,12.718863,22.441930,0.055017,12.663847,99.567
Baseline,400,33.07,302.37,461.0,17.102058,30.195410,0.054233,17.047825,99.683
Baseline,500,41.38,302.1,462.47,21.555332,38.026380,0.054080,21.501252,99.749
Restricted instance,10,1.04,241.31,345.52,0.588200,0.998760,0.072300,0.515900,87.708
Restricted instance,100,10.11,247.28,344.81,5.260500,9.410260,0.072480,5.188020,98.622
Restricted instance,200,20.23,247.21,345.83,10.478640,18.921130,0.072200,10.406440,99.311
Restricted instance,300,30.47,246.17,346.06,15.796713,28.634390,0.072140,15.724573,99.543
Restricted instance,400,40.56,246.57,345.88,20.925205,37.286870,0.072222,20.852983,99.655
Restricted instance,500,50.1,249.48,344.75,25.383970,45.969390,0.072442,25.311528,99.715
Time-sharing,10,0.85,294.12,124.97,0.577700,0.818810,0.200000,0.377700,65.380
Time-sharing,100,8.13,307.5,57.99,4.352420,7.709720,0.431030,3.921390,90.097
Time-sharing,200,15.99,312.66,59.68,8.178625,15.038850,0.418850,7.759775,94.879
Time-sharing,300,24.14,310.73,57.62,12.220507,22.579220,0.433870,11.786637,96.450
Time-sharing,400,33.14,301.79,124.63,16.850110,30.644040,0.200572,16.649538,98.810
Time-sharing,500,43.73,285.86,134.14,24.286280,40.645280,0.186378,24.099902,99.233
Multiple instances,10,0.64,390.62,164.92,0.370000,0.616040,0.151500,0.218500,59.054
Multiple instances,100,5.39,463.99,158.95,2.096240,4.268770,0.157300,1.938940,92.496
Multiple instances,200,8.65,578.17,155.77,3.948915,6.767560,0.160485,3.788430,95.936
Multiple instances,300,11.33,661.78,150.22,5.776327,9.632600,0.166417,5.609910,97.119
Multiple instances,400,14.83,674.22,151.14,7.569348,12.482970,0.165375,7.403973,97.815
Multiple instances,500,18.7,668.56,149.78,9.571888,15.747530,0.166898,9.404990,98.256
