idx,time,latency_sec,tokens,generation_time_sec,tok_per_sec
1,17:51:07.10,0.392,25,0.123,203.379
2,17:51:07.39,0.677,25,0.09,276.811
3,17:51:07.63,0.913,25,0.25,100.189
4,17:51:07.92,1.16,25,0.085,295.277
5,17:51:08.04,1.315,25,0.38,65.717
6,17:51:08.07,1.366,25,0.251,99.645
7,17:51:08.33,1.606,25,0.198,126.242
8,17:51:08.26,1.531,25,0.244,102.311
9,17:51:08.52,1.784,25,0.098,254.364
10,17:51:08.63,1.798,25,0.164,152.244
11,17:51:09.61,2.86,25,0.126,198.831
12,17:51:09.61,2.756,25,0.14,179.087
13,17:51:09.74,3.024,25,0.153,163.615
14,17:51:09.66,2.88,25,0.479,52.236
15,17:51:10.01,3.209,25,0.261,95.681
16,17:51:10.07,3.149,25,0.197,126.901
17,17:51:10.10,3.221,25,0.366,68.366
18,17:51:10.28,3.574,25,0.096,259.925
19,17:51:10.41,3.526,25,0.098,254.463
20,17:51:10.51,3.758,25,0.07,359.095
21,17:51:10.35,3.142,25,0.196,127.292
22,17:51:10.65,3.647,25,0.106,236.43
23,17:51:10.77,3.942,25,0.375,66.639
24,17:51:10.47,3.664,25,0.154,162.032
25,17:51:10.83,3.903,25,0.215,116.028
26,17:51:10.84,4.124,25,0.361,69.312
27,17:51:10.90,4.181,25,0.214,116.714
28,17:51:11.10,4.352,25,0.298,84.026
29,17:51:11.20,4.448,25,0.328,76.145
30,17:51:11.23,4.451,25,0.345,72.556
31,17:51:11.28,4.35,25,0.354,70.544
32,17:51:11.30,4.456,25,0.361,69.284
33,17:51:11.49,3.719,25,0.355,70.445
34,17:51:11.59,4.672,25,0.356,70.297
35,17:51:11.62,4.686,25,0.355,70.328
36,17:51:11.67,4.881,25,0.356,70.218
37,17:51:11.69,4.859,25,0.356,70.251
38,17:51:11.88,4.69,25,0.354,70.704
39,17:51:11.98,4.872,25,0.355,70.337
40,17:51:12.01,5.283,25,0.355,70.326
41,17:51:12.06,4.883,25,0.356,70.24
42,17:51:12.08,5.157,25,0.356,70.141
43,17:51:12.27,5.166,25,0.356,70.216
44,17:51:12.37,5.467,25,0.356,70.18
45,17:51:12.40,4.993,25,0.355,70.503
46,17:51:12.45,5.443,25,0.356,70.284
47,17:51:12.47,5.691,25,0.356,70.241
48,17:51:12.66,5.586,25,0.353,70.774
49,17:51:12.76,5.599,25,0.355,70.488
50,17:51:12.79,5.583,25,0.354,70.604
51,17:51:12.84,6.107,25,0.353,70.817
52,17:51:12.87,6.067,25,0.355,70.502
53,17:51:13.05,6.152,25,0.355,70.505
54,17:51:13.15,5.923,25,0.355,70.496
55,17:51:13.18,5.525,25,0.355,70.38
56,17:51:13.23,6.296,25,0.355,70.436
57,17:51:13.25,6.295,25,0.353,70.879
58,17:51:13.44,6.572,25,0.357,70.056
59,17:51:13.54,6.619,25,0.355,70.489
60,17:51:13.57,6.265,25,0.352,71.065
61,17:51:13.62,6.303,25,0.353,70.793
62,17:51:13.65,6.682,25,0.36,69.458
63,17:51:13.85,6.606,25,0.372,67.198
64,17:51:13.94,6.609,25,0.37,67.526
65,17:51:13.97,6.584,25,0.365,68.516
66,17:51:14.04,7.27,25,0.377,66.38
67,17:51:14.06,6.892,25,0.376,66.558
68,17:51:14.25,7.391,25,0.361,69.211
69,17:51:14.33,6.112,25,0.356,70.27
70,17:51:14.36,7.096,25,0.354,70.558
71,17:51:14.43,6.98,25,0.355,70.461
72,17:51:14.45,7.439,25,0.354,70.693
73,17:51:14.64,7.178,25,0.354,70.577
74,17:51:14.72,7.89,25,0.353,70.811
75,17:51:14.75,8.006,25,0.354,70.662
76,17:51:14.82,8.076,25,0.36,69.387
77,17:51:14.85,7.996,25,0.363,68.78
78,17:51:15.06,7.879,25,0.384,65.149
79,17:51:15.12,8.184,25,0.366,68.364
80,17:51:15.14,7.515,25,0.36,69.466
81,17:51:15.23,8.255,25,0.365,68.491
82,17:51:15.25,7.971,25,0.371,67.426
83,17:51:15.45,8.065,25,0.357,69.961
84,17:51:15.51,7.789,25,0.358,69.882
85,17:51:15.54,7.82,25,0.356,70.209
86,17:51:15.62,8.318,25,0.357,70.081
87,17:51:15.64,7.918,25,0.356,70.222
88,17:51:15.84,8.31,25,0.357,70.05
89,17:51:15.90,7.882,25,0.357,70.013
90,17:51:15.93,8.431,25,0.356,70.156
91,17:51:16.01,8.744,25,0.357,69.997
92,17:51:16.03,8.153,25,0.357,69.996
93,17:51:16.23,8.577,25,0.356,70.225
94,17:51:16.29,8.933,25,0.356,70.126
95,17:51:16.32,8.363,25,0.356,70.17
96,17:51:16.40,9.055,25,0.356,70.268
97,17:51:16.42,9.252,25,0.356,70.151
98,17:51:16.62,8.02,25,0.357,70.067
99,17:51:16.68,9.511,25,0.356,70.167
100,17:51:16.71,9.572,25,0.356,70.188
101,17:51:16.79,9.883,25,0.356,70.171
102,17:51:16.81,9.203,25,0.357,70.086
103,17:51:17.01,9.244,25,0.357,70.094
104,17:51:17.07,9.734,25,0.356,70.169
105,17:51:17.10,9.554,25,0.356,70.152
106,17:51:17.18,9.969,25,0.357,70.081
107,17:51:17.20,9.475,25,0.356,70.129
108,17:51:17.40,10.247,25,0.356,70.193
109,17:51:17.46,10.499,25,0.356,70.214
110,17:51:17.49,10.575,25,0.356,70.29
111,17:51:17.57,10.596,25,0.356,70.259
112,17:51:17.59,9.745,25,0.357,70.087
