idx,time,latency_sec,tokens,generation_time_sec,tok_per_sec
1,18:11:45.14,0.27,25,0.079,316.868
2,18:11:45.76,0.877,25,0.094,267.233
3,18:11:45.88,1.008,25,0.073,342.366
4,18:11:45.98,1.099,25,0.072,346.223
5,18:11:46.07,1.141,25,0.073,344.598
6,18:11:46.17,1.249,25,0.072,348.264
7,18:11:46.26,1.281,25,0.072,346.982
8,18:11:46.35,1.284,25,0.072,346.779
9,18:11:46.44,1.369,25,0.072,347.363
10,18:11:46.54,1.459,25,0.072,348.975
11,18:11:46.63,1.555,25,0.072,346.382
12,18:11:46.72,1.767,25,0.072,347.816
13,18:11:46.82,1.494,25,0.072,346.18
14,18:11:46.91,2.014,25,0.072,347.401
15,18:11:47.00,2.079,25,0.072,347.78
16,18:11:47.10,2.172,25,0.072,345.56
17,18:11:47.19,2.266,25,0.072,348.906
18,18:11:47.29,2.399,25,0.073,344.162
19,18:11:47.38,2.421,25,0.072,347.17
20,18:11:47.47,2.542,25,0.072,348.288
21,18:11:47.57,2.677,25,0.072,346.743
22,18:11:47.66,2.64,25,0.073,342.985
23,18:11:47.75,2.675,25,0.072,346.276
24,18:11:47.85,2.955,25,0.072,345.422
25,18:11:47.94,3.051,25,0.072,345.833
26,18:11:48.04,2.967,25,0.072,346.259
27,18:11:48.13,3.257,25,0.073,341.657
28,18:11:48.23,3.148,25,0.074,339.227
29,18:11:48.32,3.296,25,0.073,342.688
30,18:11:48.42,3.472,25,0.072,347.021
31,18:11:48.51,3.435,25,0.072,346.359
32,18:11:48.60,3.528,25,0.072,345.473
33,18:11:48.70,3.771,25,0.072,346.269
34,18:11:48.79,3.845,25,0.072,348.55
35,18:11:48.88,3.957,25,0.072,347.604
36,18:11:48.98,3.929,25,0.072,345.926
37,18:11:49.07,4.053,25,0.073,343.06
38,18:11:49.16,4.087,25,0.073,344.819
39,18:11:49.26,4.184,25,0.072,345.883
40,18:11:49.35,4.273,25,0.072,347.129
41,18:11:49.44,4.201,25,0.072,347.015
42,18:11:49.54,4.394,25,0.072,347.419
43,18:11:49.63,4.618,25,0.072,346.401
44,18:11:49.72,4.687,25,0.072,347.309
45,18:11:49.82,4.767,25,0.072,345.729
46,18:11:49.91,4.901,25,0.072,346.866
47,18:11:50.00,5.048,25,0.072,348.215
48,18:11:50.10,4.825,25,0.073,343.092
49,18:11:50.19,5.115,25,0.072,345.749
50,18:11:50.29,5.108,25,0.073,344.264
51,18:11:50.38,5.307,25,0.072,345.041
52,18:11:50.48,5.467,25,0.072,346.969
53,18:11:50.57,5.34,25,0.072,346.36
54,18:11:50.66,5.585,25,0.072,346.113
55,18:11:50.76,5.497,25,0.072,344.879
56,18:11:50.85,5.502,25,0.072,346.637
57,18:11:50.95,5.937,25,0.072,347.046
58,18:11:51.04,6.031,25,0.072,346.879
59,18:11:51.13,6.058,25,0.073,344.42
60,18:11:51.23,5.996,25,0.073,344.365
61,18:11:51.32,6.392,25,0.072,347.47
62,18:11:51.42,6.286,25,0.073,341.988
63,18:11:51.51,6.341,25,0.072,348.259
64,18:11:51.60,6.327,25,0.072,348.498
65,18:11:51.70,6.527,25,0.072,346.61
66,18:11:51.79,6.712,25,0.072,348.231
67,18:11:51.88,6.517,25,0.072,345.995
68,18:11:51.98,6.967,25,0.073,344.382
69,18:11:52.07,6.994,25,0.073,344.094
70,18:11:52.16,7.154,25,0.072,345.99
71,18:11:52.26,7.359,25,0.072,345.906
72,18:11:52.35,7.282,25,0.072,345.845
73,18:11:52.45,7.366,25,0.072,346.598
74,18:11:52.54,7.317,25,0.072,346.205
75,18:11:52.63,7.557,25,0.072,347.671
76,18:11:52.73,7.659,25,0.072,346.67
77,18:11:52.82,7.743,25,0.072,345.19
78,18:11:52.91,7.968,25,0.072,348.039
79,18:11:53.01,8.089,25,0.072,347.434
80,18:11:53.10,7.594,25,0.072,348.796
81,18:11:53.19,8.181,25,0.072,348.412
82,18:11:53.29,8.21,25,0.072,347.949
83,18:11:53.38,8.216,25,0.072,347.002
84,18:11:53.47,8.462,25,0.072,346.562
85,18:11:53.57,8.232,25,0.072,345.143
86,18:11:53.66,8.65,25,0.072,344.965
87,18:11:53.75,8.59,25,0.072,347.849
88,18:11:53.85,8.615,25,0.072,348.041
89,18:11:53.94,8.495,25,0.072,344.952
90,18:11:54.03,9.025,25,0.073,344.46
91,18:11:54.13,8.851,25,0.072,345.038
92,18:11:54.22,9.211,25,0.073,344.797
93,18:11:54.31,9.305,25,0.072,347.52
94,18:11:54.41,9.205,25,0.072,347.262
95,18:11:54.50,9.116,25,0.072,346.898
96,18:11:54.59,9.717,25,0.072,347.869
97,18:11:54.69,9.41,25,0.072,346.201
98,18:11:54.78,9.771,25,0.072,345.093
99,18:11:54.87,9.865,25,0.072,345.289
100,18:11:54.97,9.442,25,0.072,345.071
