MIG config,repliche Ollama,concorrenza,token output,Total tokens,Wall time,GPU time,Throughput REAL,Throughput GPU,Latency avg,Latency p95
all-7g.40gb,1,10,50,500,1.64,1.14,305.06,438.42,921.15,1607.59
all-7g.40gb,1,50,50,2500,8.04,5.69,310.87,439.11,4209.79,7658.95
all-7g.40gb,1,100,50,5000,15.95,11.43,313.56,437.51,8062.31,14816.24
all-7g.40gb,1,200,50,10000,32.28,22.83,309.81,437.95,16440.38,29613.06
all-7g.40gb,1,10,500,5000,15.89,12.44,314.6,402.02,8783.26,15867.92
all-7g.40gb,1,50,500,25000,78.71,62.31,317.61,401.2,40064.98,75394.68
all-7g.40gb,1,100,500,50000,157.82,124.52,316.81,401.54,79666.73,151239.36
all-7g.40gb,1,200,500,99626,314.11,248.05,317.17,401.63,157407.07,298542.03
all-3g.20gb,2,10,50,500,1.23,1.49,408.16,335.41,664.48,1201.56
all-3g.20gb,2,50,50,2500,5.29,7.53,472.23,331.87,2710.72,4824.18
all-3g.20gb,2,100,50,5000,10.76,15.14,464.9,330.22,5250.76,9787.98
all-3g.20gb,2,200,50,10000,21.5,30.14,465.01,331.82,10630.79,19352.29
all-3g.20gb,2,10,500,5000,10.2,16.64,490.05,300.52,6060.58,10181.41
all-3g.20gb,2,50,500,24989,63.45,82.75,393.81,301.98,27991.65,59483.75
all-3g.20gb,2,100,500,49926,103.47,166.19,482.53,300.42,51467.3,97109.45
all-3g.20gb,2,200,500,99989,201.02,333.24,497.41,300.05,101576.55,192054.43
all-1g.5gb,7,10,50,500,1.88,3.14,265.53,159.27,803.15,1856.4
all-1g.5gb,7,50,50,2500,4.52,16.0,553.22,156.25,1959.38,3701.47
all-1g.5gb,7,100,50,5000,8.75,32.2,571.43,155.29,3704.57,7146.85
all-1g.5gb,7,200,50,10000,15.79,65.99,633.47,151.55,6708.48,12496.59
all-1g.5gb,7,300,50,15000,20.81,99.31,720.91,151.04,9837.15,17075.8
all-1g.5gb,7,400,50,20000,29.34,130.15,681.71,153.67,13297.52,24787.36
all-1g.5gb,7,10,500,5000,11.87,35.83,421.27,139.54,6020.05,11849.6
all-1g.5gb,7,50,500,24994,40.3,179.76,620.28,139.04,17571.4,35957.64
all-1g.5gb,7,100,500,49972,83.04,359.0,601.77,139.2,33593.28,71348.9
all-1g.5gb,7,200,500,99956,162.36,720.42,615.64,138.75,62821.2,127408.24
